Population,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Indigenous identity for the population in private households - 25% sample data,2761285,115115,117205,139920,104715,115675,107360,111200,114820,104730,135405,102385,114095,116935,104555,101025,94335,112590,117125,108500,110095,111560,103690,94025,102755,101485
  Indigenous identity,22920,590,755,1415,1255,970,520,495,645,1205,1355,960,910,1695,1710,500,555,380,310,1975,1470,710,380,235,1215,705
    Single Indigenous responses,21470,555,720,1325,1175,925,475,460,580,1110,1255,910,785,1615,1615,445,515,340,285,1875,1375,675,370,225,1160,695
      First Nations (North American Indian),13800,330,440,820,705,650,370,315,280,765,820,540,465,1125,1085,235,295,230,225,1260,800,445,235,90,795,490
      Métis,7435,220,275,505,455,275,110,150,305,335,435,360,305,460,510,210,215,110,60,620,515,220,135,135,345,175
      Inuk (Inuit),235,0,10,0,10,0,0,0,0,15,0,10,15,25,15,0,0,0,0,0,50,10,0,0,25,25
    Multiple Indigenous responses,650,15,0,50,35,25,30,0,0,70,55,0,70,35,60,20,25,0,0,40,40,20,0,0,15,0
    Indigenous responses not included elsewhere,795,25,40,40,45,15,20,25,55,25,45,45,60,40,35,35,20,20,20,60,55,15,10,10,35,10
  Non-Indigenous identity,2738365,114525,116445,138505,103460,114705,106835,110705,114175,103525,134045,101425,113185,115240,102850,100525,93780,112215,116815,106525,108625,110845,103305,93795,101540,100775
,,,,,,,,,,,,,,,,,,,,,,,,,,
Total - Registered or Treaty Indian status for the population in private households - 25% sample data,2761285,115115,117205,139920,104715,115675,107360,111200,114820,104730,135405,102385,114095,116935,104555,101025,94335,112590,117125,108500,110095,111560,103690,94025,102755,101485
  Registered or Treaty Indian,7730,150,210,420,440,450,260,170,250,460,460,285,300,675,655,120,150,125,160,735,400,140,115,30,405,175
  Not a Registered or Treaty Indian,2753560,114970,116990,139500,104275,115220,107100,111035,114570,104270,134945,102105,113795,116260,103905,100900,94185,112470,116965,107765,109700,111420,103575,93995,102350,101305
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethnoculture,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Ethnic or cultural origin for the population in private households - 25% sample data,2761285,115115,117205,139920,104715,115675,107360,111200,114820,104730,135405,102385,114095,116935,104555,101025,94335,112590,117125,108500,110095,111560,103690,94025,102755,101485
  Canadian,165640,6335,8350,10520,7665,6900,5855,5825,8030,6945,6410,6040,7495,5960,8055,6600,5395,4080,3745,9625,8615,6485,3550,3485,6690,6975
  English,244995,3330,11665,17320,19005,5035,2990,2110,10515,11890,14330,15230,14725,11955,18955,13710,6715,4310,4625,21195,11540,5830,3110,1580,6290,7035
  Irish,226865,2945,10660,16770,18680,4670,2430,1435,8565,12395,15085,14385,13935,11830,18130,11810,5570,3595,3945,19325,11100,4925,2580,1255,5300,5575
  Scottish,211180,2640,10055,15465,17275,4160,2260,1435,8600,10850,12965,13415,13155,10970,16710,11820,5565,3330,3510,18290,10005,4505,2540,1410,4900,5350
"  French, n.o.s.",85715,1130,3265,6180,6970,1985,1135,805,2955,4790,6255,5685,5415,5775,7095,4055,2200,1360,1350,6975,3430,1870,930,525,1745,1820
  German,107475,1590,5125,8400,9395,2310,1575,835,4810,6160,7510,6750,6655,6395,7985,5310,2575,2045,2385,7790,3730,2115,1070,635,2235,2110
  Chinese,297725,2395,4110,6460,4750,3500,4490,4475,6225,6305,20030,14405,6220,14015,12115,11955,7365,30305,26835,6680,6475,9680,41320,37015,5395,5220
  Italian,167460,7200,16520,12230,7540,12675,12610,11335,9815,9715,7565,7150,7165,4645,6245,4720,2230,2650,4145,6095,4170,3005,2195,855,2125,2850
  Indian (India),182115,17135,4325,7660,3645,3885,2765,6540,3290,2865,11785,4460,5530,8695,3840,5440,8850,9490,5625,4735,6665,11655,7080,8580,15420,12160
  Ukrainian,61565,875,8280,8795,5955,1190,2690,560,2340,2385,3670,2780,2870,2995,2905,1845,1040,1045,2240,2645,1515,615,440,275,715,895
  Dutch,34365,575,1390,2575,2860,695,465,260,1405,1970,2570,2390,2095,1915,2695,1640,730,480,760,2870,1305,585,375,160,730,860
  Polish,85250,1620,6720,10125,7845,1900,4095,570,7295,3810,4260,4285,7245,3100,3680,3475,1560,1585,2325,3430,1995,1060,600,300,1080,1285
  Québécois,2620,90,110,145,190,45,25,15,65,160,180,195,125,265,245,130,60,45,65,185,130,30,15,0,45,60
"  British Isles, n.o.s.",66395,895,3400,4835,4570,1275,800,450,3140,3115,4285,4025,4295,3545,5155,3920,1870,1190,1420,5490,2500,1740,1015,530,1385,1575
  Filipino,161495,5405,3255,4555,2790,7215,18615,8160,11525,3220,3725,1600,5120,5600,2765,3335,6715,5700,6905,3515,9085,13580,6005,6090,8355,8660
  French Canadian,15450,240,640,1245,1150,340,200,100,630,830,1295,960,895,865,1285,625,420,245,355,1230,635,275,165,145,355,325
"  Caucasian (White), n.o.s.",32230,400,1260,1885,1925,1190,945,495,1565,1590,2350,1950,2180,1875,1915,1200,970,820,955,2175,1630,710,400,265,975,630
"  First Nations (North American Indian), n.o.s.",9350,255,445,520,420,430,230,230,210,485,580,395,335,670,705,255,270,135,150,800,565,275,125,75,500,320
  Métis,7420,215,260,535,540,285,75,120,270,490,470,330,385,470,590,165,205,65,50,640,380,240,110,100,225,200
"  European, n.o.s.",35900,750,1620,2240,2080,1965,1555,805,2685,2380,2440,2055,2810,1530,1710,1420,890,865,860,1840,925,635,350,240,650,615
  Russian,56130,375,2045,3370,2905,555,6775,415,5760,2015,3415,3330,5615,2490,2225,2880,1090,2015,4450,1845,825,425,355,150,465,335
  Norwegian,8670,65,265,535,935,120,55,95,360,455,705,725,500,490,800,490,190,170,160,725,270,175,135,35,120,85
  Welsh,23795,355,1075,1535,2015,500,275,220,1060,1405,1520,1625,1485,1265,1970,1360,560,310,530,2020,965,405,270,125,435,510
  Portuguese,85165,2155,5395,5480,3085,14090,2485,2305,3840,19080,3835,4220,3425,1630,1440,1560,1000,1090,910,1580,1355,1315,735,535,1130,1500
  American,21900,325,775,1215,1630,560,465,190,1960,1265,1310,1770,1535,1025,1765,1190,620,415,350,1435,625,315,260,125,365,405
  Spanish,44625,1905,1860,2465,1845,2595,2360,2445,2330,2340,2655,1810,2490,2120,1580,1405,1405,1120,1350,1590,1440,1640,760,745,1055,1325
  Swedish,9415,70,355,600,840,170,125,10,340,570,685,775,710,625,805,515,125,155,235,790,475,90,65,70,130,90
  Hungarian,25910,540,1455,1380,1555,675,1145,425,2265,1255,1410,1440,2150,885,1400,1205,860,780,915,1535,830,540,270,115,480,410
  Acadian,3935,35,125,295,385,75,30,20,130,230,275,275,185,355,370,135,105,35,45,400,110,80,45,85,65,70
  Pakistani,41705,3305,1395,915,440,635,350,2515,325,530,2300,800,545,1925,950,4560,2435,1240,835,1780,2900,2795,1100,1885,2905,2335
"  African, n.o.s.",50400,4720,1315,1500,1405,4890,1390,5130,1205,1470,1810,865,1595,2240,1115,995,2045,1180,605,1730,2405,2255,1540,1510,2850,2625
  Jewish,74080,215,795,1250,2500,460,10360,245,15415,3605,2795,5335,11625,1910,3135,4415,630,2140,3790,2035,500,155,205,90,190,275
  Punjabi,11985,2905,245,515,135,120,125,985,170,205,840,300,255,460,265,500,265,340,160,315,430,440,180,655,545,635
  Vietnamese,42195,1550,1055,1475,1605,4855,3115,9010,1420,2190,2220,940,825,1815,1910,355,465,910,1045,610,780,715,1190,1035,470,645
"  Arab, n.o.s.",18385,770,550,705,340,355,465,435,330,420,1320,720,615,1400,365,830,1860,945,725,415,495,1635,1185,410,635,485
  Greek,51985,605,1775,1925,1855,1080,1305,490,1885,1585,1465,1755,2065,1100,7020,2370,3710,2270,1210,3870,2430,4115,2560,850,1480,1200
  Jamaican,62015,5660,1895,2020,1560,5930,2450,5905,1725,1660,1965,925,1730,1825,1145,670,2140,1305,810,1730,2775,2545,2130,2530,4170,4830
"  Asian, n.o.s.",39880,1115,800,985,625,1130,2010,1895,1530,905,1650,1205,805,1885,1005,1200,1450,2820,2985,695,1900,2380,3035,2560,1805,1475
"  Cree, n.o.s.",1380,15,40,90,105,50,25,20,30,90,55,75,85,85,150,35,10,15,15,150,75,50,40,10,50,15
  Korean,42200,500,1890,2365,835,375,1630,555,1315,910,2475,2285,1975,2570,740,1715,1380,4195,11050,815,505,525,790,225,285,300
  Romanian,20010,280,1125,1080,835,210,1100,170,1495,600,1060,810,1575,670,670,1240,1480,1735,1015,870,490,385,285,155,355,315
  Lebanese,11530,155,485,625,490,215,235,190,370,365,1165,650,460,625,580,430,785,480,400,370,250,1135,465,115,195,300
  Iranian,37895,260,615,1165,425,175,1275,165,1120,415,2180,1360,1970,1425,430,3290,1800,6485,10370,615,490,475,645,185,305,255
"  Christian, n.i.e.",15030,1035,795,660,450,555,615,1060,735,460,445,390,700,390,515,455,455,710,585,450,445,680,680,540,635,585
  Danish,7120,90,245,455,520,130,35,35,265,465,505,510,520,395,650,365,185,150,120,650,345,145,90,20,95,145
"  North American Indigenous, n.o.s.",3925,100,80,285,235,220,115,65,90,165,190,190,155,250,335,95,120,75,55,330,265,130,70,10,210,105
  Sikh,4845,1825,90,90,65,85,45,580,45,55,285,160,65,80,35,100,40,100,60,25,25,130,55,265,195,340
  Austrian,11700,160,700,795,810,250,340,65,825,480,760,765,885,525,760,865,260,295,400,760,250,145,105,55,250,195
  Belgian,4575,50,225,325,405,75,80,25,140,205,430,420,250,250,370,285,70,75,90,390,160,60,35,10,35,120
  Haitian,2820,340,55,70,75,100,50,190,40,75,140,75,75,110,100,75,80,50,40,80,85,130,90,45,415,225
  Hindu,26510,3040,520,865,275,420,450,1005,300,195,1190,340,635,1130,200,380,700,1720,725,540,1165,2255,1090,1850,2825,2690
  Mexican,15445,665,705,700,665,1185,800,910,985,1110,1090,650,1005,845,400,535,385,545,570,455,305,335,105,155,120,195
  Mennonite,1740,0,10,75,265,0,0,0,15,265,165,170,170,95,180,70,10,15,0,140,35,10,0,0,20,15
  Swiss,6710,70,245,550,660,180,55,60,310,300,415,530,495,335,565,355,95,130,125,565,190,155,110,0,95,100
  Finnish,7715,75,290,565,535,110,115,20,340,435,525,410,410,370,660,395,225,280,295,695,325,155,115,20,110,235
  Sri Lankan,43495,1840,435,340,425,660,320,1390,260,390,600,210,245,1055,385,740,1070,945,285,555,2505,5525,2980,5895,5830,8610
  Croatian,12420,570,1965,1545,1415,505,300,175,470,530,650,625,525,395,450,380,320,250,195,505,190,135,115,20,75,105
  Japanese,17115,170,585,995,1050,345,285,195,615,810,1275,1115,980,1095,1060,830,860,775,1135,785,655,400,320,180,280,325
"  South Asian, n.o.s.",25660,1885,665,535,315,545,305,925,330,285,1140,410,415,875,640,1030,1405,730,705,1175,2150,2175,830,1550,2150,2480
"  Mi'kmaq, n.o.s.",2195,55,65,175,150,90,25,50,70,105,135,50,110,180,160,55,70,30,10,165,155,60,45,40,105,45
"  Northern European, n.o.s.",4345,45,95,280,330,50,60,25,190,245,335,420,365,375,255,150,155,75,120,440,90,75,25,30,40,80
  Muslim,15945,985,395,330,120,315,385,660,220,190,415,120,170,510,480,1490,1530,770,550,640,720,1190,510,710,1890,655
  Egyptian,9725,225,305,560,375,125,180,160,330,225,815,385,545,540,335,435,625,840,740,300,210,425,435,220,175,220
"  Latin, Central or South American, n.o.s.",17740,895,920,930,480,1810,905,1745,1065,1090,880,495,1075,640,510,435,505,395,370,670,385,405,250,245,295,350
  Tamil,35075,1370,280,240,395,350,210,1130,200,245,470,175,250,1135,125,250,785,815,250,255,1550,4610,2700,5435,4330,7525
  Icelandic,2560,10,75,175,300,20,30,40,80,175,245,270,180,130,210,115,40,20,35,210,90,25,20,0,25,50
  Colombian,10340,410,655,605,325,650,455,725,540,505,855,340,590,490,255,350,615,505,365,185,160,235,215,130,120,60
  Moroccan,3900,30,35,120,140,65,535,90,515,160,295,160,350,185,70,130,95,95,205,40,120,185,95,30,55,100
  Czech,7745,75,445,725,660,170,155,120,475,545,595,510,495,300,435,345,195,200,185,440,125,95,45,40,170,195
  Syrian,6785,235,225,305,170,180,100,260,195,95,335,205,220,250,200,210,920,465,165,185,190,465,590,175,225,235
  Guyanese,27780,3025,540,735,620,1350,685,2765,500,595,850,285,465,610,675,375,800,515,325,655,1335,2170,810,1330,2425,3360
  Afghan,18760,1105,575,265,90,190,590,630,220,75,270,110,110,395,250,1665,2910,985,295,500,1130,1875,715,495,2240,1080
"  Black, n.o.s.",22595,1775,625,550,635,2345,765,1865,620,560,645,360,780,725,455,360,865,625,180,870,1120,1025,865,735,1600,1645
  Serbian,17775,230,3655,2300,1500,305,325,65,925,265,740,565,935,645,955,925,800,430,420,735,255,205,190,50,200,145
  Ojibway,2405,55,60,120,185,150,60,20,35,115,170,65,75,145,265,50,30,30,55,235,135,65,55,10,150,60
  Newfoundlander,3370,105,110,230,225,220,65,105,65,105,95,75,70,190,305,145,75,40,45,280,290,150,55,45,140,140
  Hong Konger,12835,25,105,245,175,75,155,10,145,105,685,600,275,680,380,625,300,1640,1705,190,270,370,1890,1740,170,280
  Ontarian,4725,190,230,250,275,105,120,135,260,160,145,210,235,195,350,155,120,130,125,400,210,110,145,125,145,185
  Persian,15215,165,340,555,265,160,520,140,425,135,905,590,610,740,220,1205,725,2220,3695,315,270,360,255,100,145,170
  Trinidadian/Tobagonian,17350,1130,435,940,510,1015,415,770,390,615,780,405,545,675,580,285,660,385,315,685,1000,890,560,760,1105,1495
  Turkish,15770,515,720,610,450,545,1465,1160,670,565,1070,775,740,805,645,775,805,800,695,460,320,440,300,110,185,130
"  Inuit, n.o.s.",280,0,0,10,10,20,0,0,0,20,10,15,10,40,25,0,0,0,0,10,30,15,0,0,25,0
  Bangladeshi,26650,500,235,315,190,460,130,565,140,315,500,210,145,1840,230,400,1185,420,435,2720,7980,2375,405,595,2350,2015
  Algerian,1290,45,70,45,25,35,30,0,15,105,105,30,35,110,30,70,70,65,30,50,35,125,20,100,25,50
  Brazilian,14865,280,725,1175,865,2075,355,205,965,1395,845,465,1265,845,270,800,270,550,515,405,200,145,120,15,65,45
  Nigerian,10870,1460,245,400,120,790,355,2380,280,180,450,225,270,435,210,135,270,270,255,110,405,310,165,205,460,480
  Armenian,11880,210,225,330,215,60,435,175,355,155,475,275,395,370,350,520,915,1680,495,210,115,575,2790,240,165,170
  Slovak,7070,65,650,870,635,180,185,55,320,275,415,340,305,275,360,440,715,150,140,295,65,75,35,0,130,75
"  Eastern European, n.o.s.",11345,50,365,480,485,105,755,50,1985,570,475,930,1615,495,555,665,195,280,475,420,115,70,50,15,45,115
  Somali,19810,5145,1925,775,365,3710,130,1840,460,285,355,65,175,1105,135,95,445,350,60,165,495,405,435,210,340,350
  Taiwanese,7960,65,215,195,155,40,125,40,165,170,600,725,215,405,240,400,235,920,1665,165,155,160,430,310,100,55
  Iraqi,7490,2185,150,210,85,75,240,1230,240,105,235,105,160,215,90,145,325,385,135,100,165,330,195,95,155,130
  Salvadorean,7195,870,340,205,170,1205,635,1165,200,375,145,90,125,170,90,55,105,130,135,130,175,170,90,60,250,95
  African Caribbean,15300,1240,365,385,290,1445,655,1160,405,465,405,150,530,430,275,225,705,425,170,545,615,620,505,650,1075,1555
"  East or Southeast Asian, n.o.s.",13390,425,315,495,230,390,620,445,235,240,520,340,445,760,510,380,520,845,1070,375,635,690,865,995,505,530
"  West or Central Asian or Middle Eastern, n.o.s.",7875,255,190,375,215,195,380,295,255,165,625,480,325,520,240,340,380,580,535,225,200,245,325,120,280,145
"  Caribbean, n.o.s.",14570,1025,275,420,265,1535,485,1235,345,580,530,260,525,555,495,180,595,440,170,490,720,880,375,495,625,1075
  Algonquin,625,0,35,20,40,20,20,0,35,40,55,30,30,45,35,15,0,15,0,40,55,0,25,0,15,15
"  West Indian, n.o.s.",14825,1700,350,570,320,860,470,1135,390,395,470,195,435,325,350,185,535,410,115,450,800,905,450,595,1000,1420
  Lithuanian,8190,105,695,895,820,200,375,80,705,365,375,435,895,310,335,400,135,130,270,355,110,70,30,0,35,60
  South African,5505,55,130,260,235,80,305,35,640,185,405,225,625,240,360,390,85,240,190,315,175,55,40,95,60,75
  Australian,3480,20,100,275,385,75,20,15,145,240,340,240,275,195,285,205,65,20,55,315,50,75,15,0,40,25
  Palestinian,4020,185,125,310,80,60,155,40,50,80,440,205,165,310,145,165,290,200,250,65,75,270,160,55,55,75
  Chilean,5165,435,430,280,440,345,305,310,205,345,280,215,340,175,225,70,100,115,75,130,120,60,40,0,65,50
  Congolese,2705,105,50,130,50,70,25,85,45,40,140,45,35,310,110,80,255,85,50,120,170,65,105,35,235,265
  Nova Scotian,1170,30,20,100,120,50,40,70,35,40,55,40,45,60,55,40,70,0,10,70,10,75,25,20,55,25
  Ethiopian,11065,215,290,350,440,620,240,330,185,440,615,215,375,1240,310,220,575,120,110,735,1545,525,130,125,565,560
"  Hispanic, n.o.s.",7945,415,345,435,230,905,445,830,340,540,350,180,350,420,225,155,265,280,135,125,125,125,185,80,280,180
  Peruvian,5230,325,390,250,245,385,305,360,200,350,340,185,310,225,135,160,115,185,115,140,105,105,85,55,55,110
  Yoruba,5395,810,170,295,15,280,245,1155,25,85,145,20,70,245,75,40,190,130,125,95,155,190,225,65,225,330
  Cambodian (Khmer),2800,110,75,60,15,125,255,1055,20,85,185,85,55,120,60,15,65,50,85,10,30,65,80,30,55,20
  Berber,505,40,20,40,0,45,10,0,10,10,45,0,20,35,0,35,20,10,0,20,15,15,0,60,35,0
  Albanian,12250,320,2165,1395,255,345,445,195,1305,190,260,250,515,260,705,395,745,390,225,530,325,615,140,0,200,80
  Maltese,6400,365,945,645,685,605,115,140,220,245,330,205,245,145,350,55,110,75,60,320,195,60,30,30,135,80
  Macedonian,11600,110,760,500,260,210,110,140,455,195,465,325,295,275,890,415,580,480,265,855,860,1010,535,145,730,740
  Slovenian,4805,130,700,765,465,145,50,20,235,135,280,140,235,130,255,255,60,50,130,150,80,70,55,10,75,175
"  Western European, n.o.s.",2575,50,75,155,215,50,55,0,130,170,270,250,205,135,240,160,20,20,30,115,45,75,0,20,40,35
  New Brunswicker,525,20,20,25,30,20,0,0,15,25,50,25,20,25,10,55,25,0,0,55,15,20,0,0,10,25
  Gujarati,6655,1340,180,210,50,155,160,300,60,50,155,105,115,175,130,205,265,330,155,100,70,365,115,400,1145,310
  Eritrean,8355,305,135,125,380,765,415,570,215,365,295,120,335,690,215,455,390,80,15,490,945,325,125,130,285,170
  African Canadian,6015,725,90,220,115,455,170,575,130,160,150,70,165,275,260,85,130,215,25,250,250,265,115,165,535,420
  Israeli,7415,45,70,160,205,80,1415,30,1575,230,480,390,915,225,240,340,60,170,430,155,25,40,15,0,10,85
  Mohawk,1275,45,40,55,80,45,20,40,45,55,65,50,60,100,105,10,0,10,0,140,45,70,40,10,65,70
"  Czechoslovakian, n.o.s.",1750,10,105,160,75,25,75,10,170,70,110,95,110,90,105,75,55,20,60,145,25,40,0,10,15,105
  Bulgarian,5830,80,505,405,315,90,315,60,225,125,295,220,280,175,395,280,630,190,205,390,230,195,65,15,120,30
  Albertan,165,0,0,10,30,0,0,0,15,0,20,30,0,0,0,10,10,0,0,0,0,0,0,0,0,0
  Ghanaian,7550,1500,355,170,170,930,360,1425,160,120,230,100,140,290,135,70,120,100,50,125,190,80,135,105,245,245
  Barbadian,6340,250,145,270,150,375,160,195,160,165,390,180,175,245,275,175,325,205,100,245,285,385,175,280,460,570
  African American,4410,190,100,130,130,380,170,345,75,215,190,165,215,155,190,90,195,130,90,115,225,205,55,165,290,220
"  Yugoslavian, n.o.s.",2850,75,415,205,250,45,45,45,100,70,210,135,145,125,170,145,105,55,35,125,125,120,30,0,10,70
  Tunisian,485,0,10,10,30,0,30,0,20,15,55,60,15,45,10,10,10,25,15,15,0,65,0,0,0,15
"  Slavic, n.o.s.",4710,80,395,660,430,95,250,75,155,150,370,180,260,225,190,100,165,130,280,120,70,85,40,15,100,85
  Cuban,4760,360,240,270,165,425,160,295,275,290,150,105,230,235,150,165,160,80,75,195,110,100,115,105,140,180
  Bosnian,3255,120,625,340,305,45,70,0,95,140,150,80,135,130,145,160,120,85,55,225,100,45,0,0,40,20
  Venezuelan,4125,65,175,375,100,220,125,95,230,210,445,130,340,270,95,125,145,220,240,190,125,50,35,20,20,95
"  Innu/Montagnais, n.o.s.",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Latvian,4910,25,360,340,450,125,205,45,315,195,215,295,425,215,255,265,160,135,145,315,115,60,60,15,80,95
  Bengali,9230,185,170,230,110,120,75,200,50,150,320,145,110,525,115,150,340,235,220,840,2185,840,175,305,845,585
  Cameroonian,1020,40,45,30,25,95,60,150,20,30,45,25,10,75,15,0,15,70,20,45,30,35,25,50,60,10
  Guatemalan,2980,290,180,100,75,420,250,480,120,270,40,30,80,70,40,50,35,55,25,25,105,55,55,30,65,45
  Indonesian,3330,70,70,230,95,50,40,20,45,140,315,140,130,240,170,105,75,210,285,170,110,160,165,125,65,100
  Laotian,1670,55,40,100,60,135,85,335,95,80,70,25,45,105,70,50,45,40,30,30,50,40,30,20,15,20
  Ilocano,6220,60,110,75,40,350,1160,590,515,60,45,45,195,165,15,105,280,145,565,175,230,340,130,275,295,250
  Northern Irish,2620,65,85,150,225,50,45,0,110,40,105,205,135,150,140,165,70,50,35,210,225,95,15,25,90,115
"  Celtic, n.o.s.",2180,0,85,120,130,50,10,0,75,145,165,190,175,120,195,75,105,15,40,260,60,30,30,50,25,20
  British Columbian,160,0,0,0,15,0,0,0,0,0,25,25,0,10,15,0,0,0,0,0,0,0,0,0,0,0
  Ecuadorian,8450,610,440,425,200,1385,710,1545,360,805,240,155,330,160,145,35,130,105,130,95,70,100,65,35,40,115
  Franco Ontarian,790,35,15,35,50,35,0,0,35,35,60,40,55,50,100,0,70,30,10,65,10,0,10,0,35,10
  Argentinian,4010,150,205,235,190,370,280,470,185,180,225,170,265,180,175,100,95,10,145,110,75,55,25,0,35,85
  Estonian,3845,15,175,290,350,55,50,10,150,135,185,250,255,110,345,320,120,35,190,310,150,60,70,30,60,115
  Kurdish,3825,60,125,95,65,140,460,130,130,230,90,75,95,125,55,160,425,285,250,100,215,270,130,10,30,60
  Fijian,545,75,0,45,0,40,0,25,0,0,30,15,15,10,25,15,0,0,15,10,10,45,40,0,85,0
  Jatt,660,300,0,0,20,0,0,100,0,0,30,20,0,0,0,0,0,0,0,0,0,50,0,0,0,40
"  North American, n.o.s.",1050,55,25,60,10,85,50,50,65,35,55,30,65,50,30,65,35,10,20,50,85,25,25,0,20,30
  Coptic,1645,0,30,30,55,0,55,0,20,25,50,15,40,70,10,145,140,205,150,20,25,80,325,75,25,15
  Thai,2220,65,50,165,70,115,55,205,65,45,240,135,105,185,160,60,20,80,45,60,65,45,65,20,105,0
  Dominican,3145,320,140,105,80,225,290,580,95,145,60,25,130,90,85,20,75,100,75,155,75,75,35,35,75,70
  Nepali,3310,100,100,115,140,25,90,45,0,20,65,25,50,325,30,0,45,50,135,160,635,705,45,50,235,100
  Kabyle,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Assyrian,4055,2205,85,40,30,45,80,960,35,15,50,30,20,35,35,40,40,25,15,15,0,55,160,0,10,20
  Igbo,2020,240,55,120,20,120,20,275,165,20,120,35,40,100,35,0,115,55,60,25,25,60,85,60,50,135
  Byelorussian,2725,10,130,300,180,60,270,20,115,135,225,100,160,195,110,130,75,105,190,85,40,0,20,0,40,15
"  Dene, n.o.s.",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  Blackfoot, n.o.s.",265,30,20,15,0,30,15,0,0,10,0,0,0,45,0,0,0,0,0,15,0,20,0,0,15,0
  Abenaki,40,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,0,0,0,0,0,0,0,0,0
  Moldovan,1170,0,75,70,25,0,265,10,55,30,75,15,65,40,25,20,50,65,185,55,10,0,0,0,0,0
"  Iroquois (Haudenosaunee), n.o.s.",300,0,0,0,0,0,0,0,0,10,15,30,0,30,40,40,0,0,10,45,15,15,0,0,0,0
  New Zealander,1235,0,30,75,145,0,0,0,65,105,35,65,65,50,160,75,40,30,20,100,40,20,25,0,30,45
  Sudanese,2195,60,10,70,40,35,20,15,35,45,65,95,55,280,35,50,220,165,45,35,165,135,250,120,135,15
  Breton,145,0,0,0,35,0,0,0,0,25,0,0,15,20,10,0,0,0,0,0,10,0,0,0,0,0
  Pennsylvania Dutch,745,25,25,80,50,15,0,0,20,25,35,30,25,45,90,45,25,20,0,55,20,10,20,0,30,40
  Malaysian,2725,15,35,110,95,35,30,20,85,60,320,150,95,145,110,115,55,120,250,125,50,95,185,170,130,150
  Plains Cree,70,0,0,25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  North African, n.o.s.",1080,0,0,60,35,35,15,0,35,70,85,45,90,160,35,40,20,55,45,45,45,15,30,0,60,45
  Huron (Wendat),150,10,0,0,30,0,0,0,0,0,20,0,0,15,0,0,0,0,0,20,0,0,0,0,0,0
  Saskatchewanian,170,0,0,20,0,0,0,0,10,15,15,0,10,20,15,0,0,0,0,20,15,0,0,0,0,10
  Buddhist,2875,60,40,160,145,120,150,580,50,80,135,75,35,130,65,40,35,160,100,80,60,70,175,255,10,50
  Gaspesian,50,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
  Norman,330,0,0,10,25,10,0,0,15,0,20,30,35,15,20,15,0,0,30,35,0,0,0,0,15,10
"  Southern or East African, n.o.s.",3390,450,90,65,140,260,55,50,55,95,200,65,85,255,60,210,305,70,60,165,160,145,165,30,75,90
  Ivorian,495,40,0,30,0,0,0,75,0,10,25,0,0,60,15,0,15,25,40,25,0,35,0,0,30,30
  Saulteaux,130,0,0,0,0,20,0,0,0,10,0,0,0,0,0,0,0,0,0,20,0,0,0,0,25,0
"  Anishinaabe, n.o.s.",560,0,10,35,20,20,15,0,0,70,15,30,15,75,45,20,0,0,10,90,30,0,0,0,0,10
  Burundian,435,0,0,0,0,0,15,0,0,0,25,25,0,95,0,0,0,40,0,0,80,30,0,25,30,15
  Tigrinya,2450,55,0,0,45,370,110,265,90,70,35,45,110,165,130,65,120,25,0,185,330,75,0,0,80,0
  Nicaraguan,2135,125,70,65,30,230,135,300,70,170,80,50,50,50,75,15,85,30,0,75,115,50,30,65,125,55
  Mauritian,1430,155,70,75,55,0,55,65,30,35,170,55,55,40,20,20,40,115,40,60,30,30,55,70,60,50
  Kenyan,2195,260,35,115,80,140,35,85,35,35,200,75,40,90,85,70,85,105,120,60,155,110,65,0,40,50
  Oji-Cree,80,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,30,0,0,0,0,0
