Population,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
      Gambian,435,0,0,0,35,210,0,15,80,0,10,0,0,15,0,0,15,0,0,0,10,35,0,0,0,0
      Ghanaian,9960,2535,410,170,120,1195,445,2310,160,145,130,45,155,250,95,90,105,155,75,140,190,230,120,140,350,195
      Guinean,470,10,10,10,10,35,0,20,0,10,10,0,15,25,10,0,40,0,0,80,55,0,50,0,70,15
      Ibo,665,125,25,25,0,60,45,105,0,20,15,0,0,10,0,10,40,25,10,0,10,20,55,0,40,10
      Ivorian,385,100,25,10,0,30,20,15,10,20,25,0,10,10,0,0,45,20,20,0,10,15,10,0,0,0
      Liberian,170,20,0,0,0,0,0,10,10,0,0,0,10,0,0,0,0,10,10,0,0,10,0,0,40,40
      Malian,180,0,0,0,15,0,0,45,0,10,0,0,10,0,0,0,10,15,10,0,0,0,0,0,35,15
      Malinké,160,10,0,0,50,0,0,0,0,0,0,0,25,15,0,0,0,0,0,15,0,0,30,0,10,10
      Nigerian,9740,1745,300,315,230,950,300,2145,190,185,380,100,100,290,80,95,205,210,90,165,270,110,175,150,525,415
      Peulh,60,0,0,0,10,0,0,0,0,0,0,0,15,0,0,0,0,0,0,10,0,0,10,0,10,0
      Senegalese,365,10,0,0,15,40,0,0,10,45,10,10,10,25,20,10,20,15,20,25,0,20,10,15,50,0
      Sierra Leonean,595,50,10,10,10,105,10,150,50,15,15,10,15,25,0,0,70,0,0,0,25,0,0,10,15,0
      Togolese,205,40,0,20,0,25,35,10,0,0,10,0,15,10,15,0,0,0,10,0,0,10,0,0,0,0
      Wolof,45,0,0,0,0,0,0,30,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Yoruba,1105,250,35,10,50,70,50,185,10,15,55,0,0,30,10,45,50,0,10,10,25,65,0,20,65,55
"      Central and West African origins, n.i.e.",1500,105,0,55,50,80,10,165,15,120,50,30,50,100,65,40,65,35,35,45,90,55,40,0,35,150
    North African origins,19510,485,420,705,600,275,1275,280,960,475,1205,935,1085,1035,445,935,1410,1385,1170,600,545,930,1110,340,465,435
      Algerian,890,20,0,55,40,40,55,10,30,50,45,65,45,50,15,35,80,50,10,50,10,65,0,10,0,65
      Berber,455,50,10,35,20,0,30,0,15,25,15,10,10,15,35,105,30,10,0,15,0,20,0,0,0,0
      Coptic,280,0,10,10,0,0,0,0,25,0,10,10,0,0,0,0,35,15,30,0,0,10,75,30,0,10
      Dinka,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Egyptian,10495,200,320,375,340,80,300,110,265,230,755,530,535,540,265,465,850,1080,765,290,205,415,890,260,210,230
      Libyan,715,10,10,0,15,0,25,0,40,40,65,65,25,90,0,105,40,25,50,20,40,45,0,0,15,0
      Maure,145,0,0,0,10,0,0,0,10,0,0,0,10,10,10,15,40,0,0,0,10,30,0,0,15,0
      Moroccan,4095,105,35,80,75,40,860,25,490,110,245,235,350,220,60,130,215,105,215,125,115,115,20,10,40,65
      Sudanese,2305,105,50,110,110,115,15,120,45,25,45,55,65,120,65,85,170,105,80,70,140,180,200,45,155,40
      Tunisian,550,0,15,35,10,10,35,10,45,10,35,15,60,15,0,15,45,25,30,50,30,45,20,10,0,15
"      North African origins, n.i.e.",470,0,0,40,10,0,15,15,30,10,35,35,25,15,15,20,10,55,15,15,10,30,30,0,35,10
    Southern and East African origins,56400,7745,2315,1925,1785,6125,1240,2805,2075,1600,2025,1200,1730,4055,1420,1225,2365,920,645,2135,3760,2005,1100,690,2010,1500
      Afrikaner,185,0,0,0,15,20,10,0,10,15,30,10,10,15,25,0,15,0,0,0,10,0,0,0,0,10
      Amhara,325,0,0,0,35,20,0,0,0,10,0,10,0,60,10,20,30,0,0,15,45,10,15,0,50,10
"      Bantu, n.o.s.",175,15,0,0,10,55,0,25,0,0,0,0,0,15,10,10,10,0,10,0,10,0,0,0,0,0
      Burundian,475,10,20,15,20,0,10,25,15,0,10,0,0,85,0,0,85,20,10,15,25,70,10,0,15,0
      Djiboutian,160,15,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,55,15,30,20,0
      Eritrean,6460,220,125,100,350,700,205,320,245,355,190,120,355,580,160,215,375,50,60,310,850,225,45,20,145,125
      Ethiopian,13090,640,265,360,645,890,220,275,380,490,450,265,350,1480,345,240,600,115,120,830,1680,820,130,220,700,580
      Harari,395,0,0,0,15,0,0,0,20,0,0,0,0,10,0,0,20,25,0,10,130,75,60,0,20,10
      Kenyan,2150,140,80,145,45,105,85,105,90,35,125,55,75,145,70,85,105,95,25,130,105,50,55,40,95,60
      Malagasy,85,0,15,0,35,10,10,10,0,0,15,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0
      Mauritian,945,125,50,55,10,0,15,0,15,10,30,35,50,50,30,20,20,115,35,50,10,35,50,40,30,50
      Oromo,645,0,35,35,25,90,25,0,105,10,0,0,55,60,10,45,0,0,0,25,70,40,0,0,10,10
      Rwandan,790,0,25,20,30,45,15,20,0,50,110,20,15,90,25,40,65,0,30,30,40,20,45,0,25,35
      Seychellois,75,0,0,0,0,15,0,0,0,0,0,10,0,10,10,0,0,10,0,0,0,0,0,0,25,0
      Somali,20960,6350,1545,695,275,3775,230,1610,525,290,355,55,110,1050,325,50,490,220,90,280,620,400,510,210,520,380
      South African,5440,35,155,285,175,120,415,50,615,185,395,475,560,205,225,330,130,130,180,255,125,90,50,25,135,95
      Tanzanian,1140,65,0,35,30,70,0,125,20,55,95,30,20,70,105,35,30,15,25,80,50,25,35,10,75,50
      Tigrian,360,25,0,0,0,105,0,10,25,40,0,0,0,15,10,10,15,0,0,25,70,0,0,0,0,0
      Ugandan,1280,150,20,40,55,140,40,45,30,45,105,20,35,85,45,25,75,10,10,35,65,65,15,45,45,30
      Zambian,170,20,0,15,25,0,0,0,10,0,20,0,10,10,0,0,30,20,0,0,0,0,0,0,10,0
      Zimbabwean,1025,30,40,115,15,65,15,70,10,50,15,45,55,50,25,30,130,45,0,35,50,40,15,0,40,25
      Zulu,140,10,10,0,10,10,25,0,15,10,0,0,15,10,10,10,10,0,0,10,0,0,0,0,10,0
"      Southern and East African origins, n.i.e.",3275,150,80,135,100,225,25,210,75,85,175,80,155,210,105,130,305,145,80,125,170,60,95,75,150,125
    Other African origins,41950,3480,1060,1115,1155,3875,1250,3480,1140,1685,1520,665,1085,1720,1210,800,1875,945,620,1540,1980,1765,1280,1360,2525,2835
"      Black, n.o.s.",6535,410,220,160,205,340,215,465,210,285,215,80,205,255,195,105,245,130,130,260,305,420,220,280,410,570
"      Other African origins, n.i.e.",35855,3110,850,960,960,3550,1050,3055,945,1430,1310,600,885,1500,1025,695,1650,840,505,1300,1675,1365,1070,1080,2145,2310
  Asian origins,1079290,53430,21780,26625,20925,25980,38305,43500,29610,21665,41400,30115,22990,38495,28615,40015,44615,72240,77640,28505,46295,62480,77260,79870,54170,52770
    West Central Asian and Middle Eastern origins,152055,9200,4060,3770,2965,2245,7710,6045,5660,2470,6105,4965,4750,5100,2740,9005,11460,14455,19105,3405,3285,7280,6660,1900,4595,3125
      Afghan,20920,1695,730,155,175,360,450,940,180,115,175,75,105,255,415,1925,3060,1220,300,525,1185,2240,820,460,2185,1170
"      Arab, n.o.s.",9275,645,230,310,260,265,245,260,140,155,490,495,200,555,220,595,765,605,505,205,210,495,630,170,375,270
      Armenian,12265,135,255,245,180,140,455,265,350,160,405,345,245,275,200,560,1300,1640,710,180,180,730,2730,125,245,220
      Assyrian,3125,1475,75,25,40,20,130,880,25,15,50,15,35,25,15,50,45,10,20,20,25,10,90,0,30,15
      Azerbaijani,1670,10,35,25,40,0,350,35,40,40,75,30,70,60,40,30,90,155,415,35,20,45,20,10,20,0
      Georgian,1600,10,65,35,65,10,545,15,110,15,45,45,40,30,20,45,10,20,325,15,20,70,20,0,10,15
      Hazara,325,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,85,25,0,20,30,85,50,0,0,20
      Iranian,45540,360,665,890,655,270,1380,310,1365,540,1985,1550,1785,1595,630,3085,2380,7940,14165,780,620,740,665,210,510,470
      Iraqi,10475,3785,165,90,150,110,420,1820,190,85,180,200,200,220,75,95,325,610,225,145,220,195,485,175,105,165
      Israeli,6720,45,55,100,145,25,1505,30,1710,210,295,305,675,220,140,365,75,105,490,60,30,25,40,0,20,50
      Jordanian,1480,30,60,60,30,35,30,25,15,35,145,120,65,125,0,40,165,90,110,100,15,40,25,60,55,25
      Kazakh,635,0,30,35,20,10,120,25,20,35,70,15,25,65,15,0,15,35,50,10,30,0,10,0,0,10
      Kurd,2570,40,130,60,55,75,300,105,150,60,65,40,85,55,25,125,340,305,105,80,130,95,90,0,10,35
      Kuwaiti,155,0,10,10,0,25,10,0,0,15,15,30,0,0,0,0,20,0,15,0,0,0,15,0,0,0
      Kyrgyz,135,0,0,10,0,0,25,0,0,0,10,10,15,0,0,0,0,30,10,0,10,0,0,0,0,10
      Lebanese,13120,250,580,585,470,225,390,285,395,375,910,605,560,600,435,595,1055,760,575,360,255,1355,730,210,335,225
      Palestinian,4095,120,170,145,140,85,45,95,70,90,360,280,175,260,100,115,525,165,195,105,25,265,210,170,30,135
      Pashtun,825,15,0,0,0,0,35,60,0,10,15,15,0,0,20,210,100,35,0,10,0,225,0,0,60,0
      Saudi Arabian,1120,40,45,25,15,0,10,25,30,0,160,260,10,95,10,75,30,40,210,20,15,0,0,0,10,0
      Syrian,6655,260,280,270,155,150,160,250,220,110,325,225,235,190,145,325,685,495,235,160,125,425,440,150,345,290
      Tajik,775,10,0,25,0,10,80,10,15,0,10,0,15,20,0,115,160,10,70,55,60,35,0,0,65,20
      Tatar,860,10,35,75,60,0,135,0,45,25,15,25,25,60,15,30,55,50,100,30,0,30,15,0,0,15
      Turk,13350,530,470,605,410,515,1065,895,750,550,615,580,435,465,355,1040,790,595,550,580,200,605,385,75,190,100
      Turkmen,200,0,40,10,10,0,10,10,10,0,10,10,15,0,0,10,30,25,20,0,0,0,0,0,0,0
      Uighur,370,20,60,0,0,10,10,0,0,0,0,0,10,0,0,20,115,25,20,0,0,50,0,20,0,0
      Uzbek,1025,10,30,155,45,20,205,25,25,0,20,15,10,10,0,30,45,80,180,10,50,0,0,20,35,0
      Yemeni,1410,145,75,55,35,30,70,0,100,20,90,50,55,125,0,45,95,25,30,60,75,35,0,55,130,0
"      West Central Asian and Middle Eastern origins, n.i.e.",4210,390,85,125,75,90,185,330,120,60,175,190,95,325,60,175,160,365,355,120,70,235,110,50,150,105
    South Asian origins,350040,34775,7295,7430,5150,7350,4290,16110,3560,5120,10205,5050,4480,12155,6165,13700,15930,11315,7360,12160,23735,28295,14690,25720,34100,33900
      Bangladeshi,18150,335,205,300,185,240,75,305,60,250,265,145,90,1255,230,340,785,375,150,2630,5425,1300,225,340,1835,825
      Bengali,9455,415,145,155,30,155,130,150,25,255,135,85,95,715,155,195,350,190,140,1025,2635,580,85,240,840,520
      Bhutanese,120,0,0,0,10,0,0,0,0,0,0,0,0,25,0,0,15,15,0,10,0,0,0,0,45,0
      East Indian,202675,25965,4695,5865,3560,4925,3110,9925,2745,3470,7915,3760,3595,6345,4080,7030,9880,7975,5680,5525,8845,13465,7710,11490,18205,16925
      Goan,1280,85,70,95,45,15,15,20,20,25,70,30,40,25,35,30,45,75,95,35,45,50,90,30,55,145
      Gujarati,1995,395,45,40,30,25,10,65,0,15,35,20,35,30,55,60,155,55,25,25,35,90,10,115,540,95
      Kashmiri,345,35,10,0,20,0,10,50,0,20,10,20,10,15,10,0,10,10,10,0,0,0,15,10,0,75
      Nepali,3080,65,20,80,165,85,55,50,25,45,60,25,25,625,120,65,65,75,50,250,415,425,55,0,205,35
      Pakistani,36135,2965,1195,620,435,535,260,2690,180,460,1160,620,260,1145,920,5175,2610,970,760,1505,2230,2375,1250,1725,2570,1510
      Punjabi,6200,2270,185,145,110,60,130,665,80,95,160,100,90,90,140,215,105,120,95,110,25,165,110,275,260,400
      Sinhalese,1735,130,65,20,20,20,45,20,20,40,30,20,55,30,10,60,65,140,50,45,75,190,130,135,155,155
      Sri Lankan,58185,2345,680,280,505,1140,370,2005,325,440,485,250,200,1575,365,475,1445,1050,380,540,2935,7760,4365,9180,7840,11240
      Tamil,20350,700,160,75,135,325,115,650,75,90,130,55,100,620,130,150,505,250,185,250,1220,2940,1605,3595,2705,3575
"      South Asian origins, n.i.e.",18470,1465,475,270,255,285,185,885,180,220,440,235,210,730,385,975,910,640,445,1030,1805,1560,700,1125,1745,1320
    East and Southeast Asian origins,586510,9730,10680,15745,13175,16570,26590,21670,20685,14420,25500,20540,14070,21700,20145,17755,17745,46845,51570,13270,19555,27340,56120,52620,16110,16355
      Burmese,1200,0,0,45,65,30,80,75,35,105,35,45,65,65,175,15,50,70,20,50,55,55,35,30,10,0
      Cambodian (Khmer),2965,165,10,40,15,160,195,1535,0,65,140,65,55,125,105,35,0,50,35,15,30,50,20,10,15,0
      Chinese,332825,2885,4225,5590,4795,4110,5155,6385,6065,7430,18300,14775,5560,12410,14560,11415,8280,35345,30360,7385,7800,11815,48945,45510,7150,6570
      Filipino,162600,4895,3170,4500,3015,7190,17665,6380,12460,3105,3055,1485,5370,5340,2745,3335,7225,5670,6795,3875,10320,14450,5885,6620,8590,9450
      Hmong,15,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
      Indonesian,2950,80,75,150,110,55,80,40,60,105,180,125,105,230,85,105,125,270,190,140,100,95,230,140,45,35
      Japanese,17265,185,565,845,835,445,320,150,690,740,1215,1125,960,815,1190,770,710,825,1290,905,830,435,500,185,410,330
      Karen,235,25,0,0,0,0,0,190,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Korean,43450,490,2220,2550,1090,455,1755,485,1130,925,1930,2315,1560,1865,680,2095,1415,4695,12430,780,405,480,775,250,365,300
      Laotian,1255,110,10,40,30,120,85,200,85,45,50,30,25,80,65,10,10,25,30,20,25,50,10,45,55,0
      Malaysian,2875,80,50,105,120,20,120,45,55,85,195,225,50,190,120,95,135,175,105,70,100,200,195,115,85,150
      Mongolian,1090,25,0,100,75,10,50,15,50,55,60,50,60,130,20,45,20,50,50,55,45,40,10,45,15,15
      Singaporean,560,0,20,15,35,15,0,0,10,25,55,70,25,65,50,10,25,20,45,10,0,0,10,40,0,10
      Taiwanese,4500,50,160,125,85,20,45,10,120,90,325,440,115,315,140,185,165,445,970,60,60,120,260,85,85,45
      Thai,1795,70,35,100,55,50,75,140,90,50,110,165,100,130,70,50,55,55,65,110,60,30,15,35,50,30
      Tibetan,5430,25,75,1545,2355,285,40,0,25,225,40,20,45,180,95,30,35,35,0,95,165,40,0,10,10,55
      Vietnamese,36835,1545,695,1065,1405,4950,2795,8650,1085,2400,1480,560,795,1425,1515,280,440,585,710,620,645,660,700,845,495,505
"      East and Southeast Asian origins, n.i.e.",1375,90,20,10,35,20,10,30,30,20,70,25,15,60,70,70,150,70,35,105,120,110,20,65,30,105
    Other Asian origins,4600,320,105,100,125,110,115,215,95,45,125,60,75,120,45,315,185,150,140,190,525,360,270,240,300,295
"      Other Asian origins, n.i.e.",4605,320,105,100,130,105,115,210,95,45,125,60,75,120,40,315,185,150,140,195,525,360,275,235,295,290
  Oceania origins,5790,60,220,305,435,105,95,35,295,380,470,405,395,300,485,365,110,155,100,415,185,130,60,10,155,110
    Australian,3705,25,165,180,340,55,65,15,225,240,395,285,255,210,250,240,70,50,80,290,100,60,25,10,40,50
    New Zealander,1230,10,20,35,85,0,10,0,55,135,60,75,105,70,180,80,45,60,15,105,40,15,0,0,0,25
    Pacific Islands origins,1020,35,35,100,10,45,20,20,25,40,30,50,45,35,100,50,10,45,10,50,45,50,35,0,110,30
      Fijian,465,20,20,65,0,25,10,15,0,20,0,10,10,10,15,25,0,10,15,0,15,40,30,0,85,25
      Hawaiian,125,10,15,10,0,0,10,0,0,10,0,0,15,0,25,0,10,10,0,10,0,0,10,0,0,0
      Maori,140,0,0,10,0,0,0,0,0,0,0,25,10,10,15,15,0,10,0,10,25,10,0,0,0,0
      Samoan,65,0,0,0,0,15,10,0,10,0,0,0,10,0,10,0,0,0,0,10,0,0,0,0,10,0
"      Polynesian, n.o.s.",75,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,15,0,0,0,10,0,0,0,0
"      Pacific Islands origins, n.i.e.",220,0,0,30,10,15,0,0,20,10,10,10,10,0,40,15,0,10,0,20,10,0,0,0,15,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Visible minority for the population in private households - 25% sample data,2691665,116955,116055,127525,106445,115130,103760,107730,112925,107400,114315,100520,104940,99590,105395,101790,93165,109055,117405,108440,108290,110445,104230,97610,101115,101445
  Total visible minority population,1385855,88495,31445,35355,27865,63255,48205,79780,35925,34290,48890,32865,29680,49530,34575,42250,54375,76745,78135,36415,61155,77125,84015,90015,71985,73475
    South Asian,338965,33825,6910,7050,5010,6515,3645,15285,3010,4545,9550,4510,4015,11780,5670,13555,15895,11120,6980,11825,23340,28240,14600,25450,33570,33080
    Chinese,299465,1635,3530,4445,3710,2465,3230,3715,4765,6300,16865,14030,4725,11020,13000,10755,6995,34115,29750,6155,6325,10245,47750,43935,5435,4560
    Black,239850,27365,6825,6325,5625,26720,8160,24565,6205,6885,5835,2530,5395,9030,5220,3055,8665,4735,2310,7135,12110,10630,6535,7400,14420,16150
    Filipino,152715,4460,2835,4255,2805,6755,17070,5955,12045,2790,2565,1305,5050,5010,2440,3140,6895,5230,6380,3460,9735,13815,5670,6235,8030,8790
    Latin American,77165,5605,3725,3060,2320,9820,5300,10250,3285,5850,2735,1635,2995,2455,1415,1425,2195,1845,1720,1490,1405,1895,890,745,1560,1555
    Arab,36030,3705,885,1155,700,590,930,1600,470,505,2190,1730,915,1830,560,1240,3355,2765,1930,680,745,2735,2200,890,945,780
    Southeast Asian,41645,2015,715,1315,1595,5030,3000,9560,1170,2410,1590,885,835,1620,1465,445,610,880,935,765,1050,1050,700,770,695,535
    West Asian,60325,2790,1315,915,585,595,2060,1920,1215,520,1810,1255,1525,1530,765,4215,5120,8285,12780,980,1495,2790,1565,630,2315,1350
    Korean,41640,480,2165,2425,1015,450,1690,445,1055,895,1850,2265,1500,1750,615,1990,1345,4540,12135,725,325,465,665,205,345,310
    Japanese,13415,145,500,655,730,295,225,125,460,580,905,925,770,625,990,560,545,575,1045,740,615,340,395,125,285,265
"    Visible minority, n.i.e.",36975,4115,805,2185,2255,1760,975,3335,740,1250,885,490,565,1025,670,470,1085,615,400,925,1890,2570,995,1425,2210,3340
    Multiple visible minorities,47670,2355,1235,1575,1515,2255,1915,3030,1510,1765,2100,1310,1390,1860,1760,1400,1680,2035,1755,1540,2115,2340,2060,2205,2175,2785
  Not a visible minority,1305815,28460,84615,92165,78580,51875,55555,27950,77000,73105,65430,67650,75260,50060,70815,59540,38785,32315,39270,72020,47140,33320,20210,7595,29125,27965
,,,,,,,,,,,,,,,,,,,,,,,,,,
Labour Force,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Population aged 15 years and over by Labour force status - 25% sample data,2294785,95290,98790,110715,90625,95660,88040,87560,92465,93960,106890,91380,92240,91410,88800,82625,78080,94410,103865,89250,89655,92275,89925,82745,83080,85060
  In the labour force,1483680,57310,61965,76150,64935,58630,55910,51005,61225,66070,86640,62210,64335,64285,61430,52950,47145,56630,62770,60680,55915,55545,49960,48070,48565,53340
    Employed,1361375,51215,57505,70985,60510,53105,51610,45390,56615,61375,82205,57620,60255,58655,57285,48690,42745,51530,57355,55835,50465,50305,44990,43325,43195,48605
    Unemployed,122305,6095,4465,5165,4425,5525,4300,5615,4605,4700,4435,4590,4080,5630,4150,4260,4400,5095,5415,4850,5455,5240,4970,4740,5370,4735
  Not in the labour force,811110,37985,36825,34570,25690,37025,32135,36555,31240,27880,20255,29165,27910,27125,27365,29670,30930,37780,41095,28565,33740,36730,39965,34675,34510,31725
Unemployment rate,8.2,10.6,7.2,6.8,6.8,9.4,7.7,11,7.5,7.1,5.1,7.4,6.3,8.8,6.8,8,9.3,9,8.6,8,9.8,9.4,9.9,9.9,11.1,8.9
,,,,,,,,,,,,,,,,,,,,,,,,,,
  Total - Males aged 15 years and over by Labour force status - 25% sample data,,,,,,,,,,,,,,,,,,,,,,,,,,
  Participation rate,69.4,65.2,68.2,73,74.7,65.6,68,63.9,70.7,73.9,84.1,72,74.9,73.5,72.3,71.7,66.4,65.4,65.8,71.9,66.7,65.7,61.4,63.6,63.9,66.7
  Total - Females aged 15 years and over by Labour force status - 25% sample data,,,,,,,,,,,,,,,,,,,,,,,,,,
  Participation rate,60.4,55.3,57.8,64.9,68.9,57.5,59.6,53.2,62.5,66.8,78,64.6,65.5,66.7,66.3,57.4,55.3,55.2,55.8,64.4,58.4,55.3,50.5,53,53.5,59.1
,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
  All occupations,1437540,54885,60435,74425,63570,56515,54295,48575,59745,64745,85415,60710,63125,62255,60080,51465,45245,54440,60495,58930,53610,53320,47730,46035,46115,51395
    0 Management occupations,163965,3135,7870,11050,8970,3780,4120,2460,7675,6875,15240,8575,9135,8090,8710,8655,4795,5480,7990,8285,4845,3805,3795,3080,3090,4460
"    1 Business, finance and administration occupations",258875,8330,11085,13795,10130,8405,8755,6540,11200,9380,20550,11055,12030,11860,10025,10355,8655,11010,12430,10210,9405,9405,8305,8035,7990,9930
    2 Natural and applied sciences and related occupations,117635,3085,5055,6220,5340,2280,3720,2060,3595,3660,9675,5105,4970,6030,4330,4515,4150,7705,8655,4580,3545,3930,4565,3620,3260,3985
    3 Health occupations,84360,3200,3450,3915,3370,2945,3795,2415,4570,2385,4250,3830,3780,3515,2865,4260,2505,3845,4130,2945,3185,3410,2770,2545,3055,3420
"    4 Occupations in education, law and social, community and government services",186800,4550,7540,8940,10040,5615,7540,3905,10800,8720,10270,11700,11745,9420,9885,7985,5580,6370,7645,9275,6085,5170,4400,3315,4765,5530
"    5 Occupations in art, culture, recreation and sport",80195,965,2355,3850,7150,1500,1740,880,3080,6455,7375,6555,5025,5200,6400,2900,1690,1885,2540,4855,2075,1150,1190,970,1100,1305
    6 Sales and service occupations,345140,15510,13735,16615,13470,16620,13475,14185,12765,16975,15140,11345,12440,14935,12950,9120,11945,12430,12480,13135,15265,15835,13685,14340,13450,13315
"    7 Trades, transport and equipment operators and related occupations",131115,9700,7075,7560,3645,10630,7040,8895,4060,7740,2165,1785,2745,2315,3475,2695,4250,3760,3050,4190,6335,6655,5095,4920,5620,5730
"    8 Natural resources, agriculture and related production occupations",7560,340,505,525,365,510,270,370,260,510,150,215,295,190,340,270,200,180,230,310,370,305,170,170,250,255
    9 Occupations in manufacturing and utilities,61900,6070,1755,1955,1095,4225,3845,6855,1740,2050,590,555,955,710,1100,725,1480,1775,1335,1155,2495,3655,3750,5040,3530,3450
,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
  All industry categories,1437540,54890,60435,74425,63570,56515,54295,48575,59750,64745,85415,60715,63125,62260,60075,51470,45240,54440,60495,58935,53610,53320,47725,46040,46115,51390
"    11 Agriculture, forestry, fishing and hunting",2090,75,95,155,110,100,65,115,95,95,75,95,105,25,80,105,45,45,65,125,60,45,85,160,30,50
"    21 Mining, quarrying, and oil and gas extraction",2045,35,55,135,80,55,70,35,105,55,270,100,65,115,60,140,75,95,100,120,55,35,60,55,50,40
    22 Utilities,5915,150,305,335,285,135,170,125,160,180,395,200,195,300,270,250,160,285,350,230,230,255,170,165,265,345
    23 Construction,76475,3835,4625,4895,2675,6725,4140,4240,2900,5870,2065,1625,2365,1320,2475,2055,2275,2350,2460,2785,2945,2900,2205,2105,2220,2430
    31-33 Manufacturing,105285,8315,4555,5180,2945,6080,5860,8500,3180,3680,2770,1770,2355,1920,2490,2150,2950,3880,3580,2465,3880,5250,5210,6515,4745,5070
    41 Wholesale trade,50120,2290,2750,3550,2040,2010,2030,1960,2095,1640,2655,1420,1650,1330,1605,1880,1650,2170,2300,1460,1545,1970,2280,2130,1825,1870
    44-45 Retail trade,141540,6455,6110,7150,5280,6570,5655,5835,5195,6395,5745,4310,5185,5275,5150,4115,5160,5645,5880,5445,5940,6435,5875,5600,5600,5530
    48-49 Transportation and warehousing,57910,5190,3335,3800,1990,3315,2425,3425,1570,1955,1700,1005,1200,1825,1625,1475,1965,1905,1550,1995,2860,2740,1915,2000,2510,2640
    51 Information and cultural industries,61350,1225,1630,2990,4370,1240,1185,725,1905,4220,5980,3985,3415,3835,4400,2085,1715,1770,1895,3675,2000,1480,1340,1280,1305,1715
    52 Finance and insurance,120005,2290,4675,6000,4345,2605,2850,1810,5440,3375,13260,5780,6060,6310,4745,5825,3760,5385,7310,4885,4280,3895,3855,3375,3145,4745
    53 Real estate and rental and leasing,39935,955,1800,2275,1540,1290,1385,840,2425,1465,2560,1850,2270,1560,1345,2115,1490,1895,2135,1495,1565,1325,1155,970,990,1245
"    54 Professional, scientific and technical services",175685,2895,6645,9435,9255,2770,4655,2220,8330,6980,19310,11075,10810,10520,8470,8615,4945,8135,9670,7590,4305,3675,4470,3555,3315,4055
    55 Management of companies and enterprises,4085,75,190,220,280,85,125,85,185,160,395,215,260,220,225,255,135,125,195,155,95,100,60,60,60,130
"    56 Administrative and support, waste management and remediation services",78885,4265,3095,3690,2540,4805,3520,3915,3035,3725,2810,1925,2570,2835,2395,2220,2970,2575,2455,3015,3660,3975,2860,2755,3965,3305
    61 Educational services,110280,2740,5250,5645,6615,3050,3665,2360,5310,5575,4805,7435,6310,5230,5850,4285,3175,4140,4590,5750,3685,3035,2865,2125,2900,3905
    62 Health care and social assistance,143250,5410,5520,6515,5755,5965,6420,4260,7370,5285,6050,5635,6445,5820,5620,6115,4840,5930,6100,5870,6010,6255,4660,4190,5340,5855
"    71 Arts, entertainment and recreation",34995,960,1390,1680,2680,955,980,700,1420,2520,2870,2580,1805,2195,2295,1235,865,700,1005,1985,975,755,560,555,605,735
    72 Accommodation and food services,106910,3985,3120,4360,5110,3835,3485,3885,3460,6080,6245,4785,3965,5990,5065,2540,3035,3460,3600,4240,4885,4825,4535,5250,3650,3540
